Date,Time,ID,F,F0,Fm,Fm',Epar,Y(II),ETR,Fv/Fm,NPQ,deltaNPQ,rETR
2024-08-29,08:20:35,al1_3d_3,146,146,385,385,0,0.621,0.0,0.621,-,0.0,0.0
2024-08-29,08:20:50,al1_3d_3,156,146,385,371,25,0.580,6.1,0.621,0.038,0.0,14.5
2024-08-29,08:21:04,al1_3d_3,164,146,385,368,45,0.554,10.5,0.621,0.046,0.0,24.93
2024-08-29,08:21:19,al1_3d_3,181,146,385,360,66,0.497,13.8,0.621,0.069,0.0,32.8
2024-08-29,08:21:34,al1_3d_3,215,146,385,348,90,0.382,14.4,0.621,0.106,0.0,34.38
2024-08-29,08:21:49,al1_3d_3,236,146,385,338,125,0.302,15.9,0.621,0.139,0.0,37.75
2024-08-29,08:22:04,al1_3d_3,252,146,385,327,190,0.229,18.3,0.621,0.177,0.0,43.51
2024-08-29,08:22:18,al1_3d_3,267,146,385,318,285,0.160,19.2,0.621,0.211,0.0,45.6
2024-08-29,08:22:33,al1_3d_3,276,146,385,311,420,0.113,19.9,0.621,0.238,0.0,47.46
2024-08-29,08:29:58,al1_3a_3,213,213,661,661,0,0.678,0.0,0.678,-,0.0,0.0
2024-08-29,08:30:13,al1_3a_3,237,213,661,642,25,0.631,6.6,0.678,0.030,0.0,15.78
2024-08-29,08:30:28,al1_3a_3,234,213,661,607,45,0.614,11.6,0.678,0.089,0.0,27.63
2024-08-29,08:30:43,al1_3a_3,255,213,661,587,66,0.566,15.7,0.678,0.126,0.0,37.36
2024-08-29,08:30:58,al1_3a_3,290,213,661,553,90,0.476,18.0,0.678,0.195,0.0,42.84
2024-08-29,08:31:12,al1_3a_3,305,213,661,512,125,0.404,21.2,0.678,0.291,0.0,50.5
2024-08-29,08:31:27,al1_3a_3,307,213,661,448,190,0.315,25.1,0.678,0.475,0.0,59.85
2024-08-29,08:31:42,al1_3a_3,314,213,661,413,285,0.240,28.7,0.678,0.600,0.0,68.4
2024-08-29,08:31:57,al1_3a_3,324,213,661,391,420,0.171,30.2,0.678,0.691,0.0,71.82
2024-08-29,08:37:54,al1_4b_3,149,149,500,500,0,0.702,0.0,0.702,-,0.0,0.0
2024-08-29,08:38:09,al1_4b_3,184,149,500,488,25,0.623,6.5,0.702,0.025,0.0,15.57
2024-08-29,08:38:24,al1_4b_3,195,149,500,479,45,0.593,11.2,0.702,0.044,0.0,26.68
2024-08-29,08:38:39,al1_4b_3,228,149,500,460,66,0.504,14.0,0.702,0.087,0.0,33.26
2024-08-29,08:38:53,al1_4b_3,274,149,500,435,90,0.370,14.0,0.702,0.149,0.0,33.3
2024-08-29,08:39:08,al1_4b_3,293,149,500,411,125,0.287,15.1,0.702,0.217,0.0,35.88
2024-08-29,08:39:23,al1_4b_3,306,149,500,389,190,0.213,17.0,0.702,0.285,0.0,40.47
2024-08-29,08:39:38,al1_4b_3,316,149,500,370,285,0.146,17.5,0.702,0.351,0.0,41.61
2024-08-29,08:39:53,al1_4b_3,320,149,500,353,420,0.093,16.4,0.702,0.416,0.0,39.06
2024-08-29,08:42:55,al1_4d_3,268,268,836,836,0,0.679,0.0,0.679,-,0.0,0.0
2024-08-29,08:43:10,al1_4d_3,315,268,836,820,25,0.616,6.5,0.679,0.020,0.0,15.4
2024-08-29,08:43:24,al1_4d_3,364,268,836,810,45,0.551,10.4,0.679,0.032,0.0,24.8
2024-08-29,08:43:39,al1_4d_3,430,268,836,789,66,0.455,12.6,0.679,0.060,0.0,30.03
2024-08-29,08:43:54,al1_4d_3,518,268,836,769,90,0.326,12.3,0.679,0.087,0.0,29.34
2024-08-29,08:44:09,al1_4d_3,567,268,836,748,125,0.242,12.7,0.679,0.118,0.0,30.25
2024-08-29,08:44:24,al1_4d_3,600,268,836,732,190,0.180,14.4,0.679,0.142,0.0,34.2
2024-08-29,08:44:39,al1_4d_3,628,268,836,713,285,0.119,14.2,0.679,0.173,0.0,33.91
2024-08-29,08:44:53,al1_4d_3,641,268,836,696,420,0.079,13.9,0.679,0.201,0.0,33.18
2024-08-29,08:46:46,al1_4c_3,399,399,1156,1156,0,0.655,0.0,0.655,-,0.0,0.0
2024-08-29,08:47:01,al1_4c_3,489,399,1156,1152,25,0.576,6.0,0.655,0.003,0.0,14.4
2024-08-29,08:47:16,al1_4c_3,533,399,1156,1139,45,0.532,10.1,0.655,0.015,0.0,23.94
2024-08-29,08:47:30,al1_4c_3,600,399,1156,1120,66,0.464,12.9,0.655,0.032,0.0,30.62
2024-08-29,08:47:45,al1_4c_3,732,399,1156,1098,90,0.333,12.6,0.655,0.053,0.0,29.97
2024-08-29,08:48:00,al1_4c_3,808,399,1156,1075,125,0.248,13.0,0.655,0.075,0.0,31.0
2024-08-29,08:48:15,al1_4c_3,864,399,1156,1055,190,0.181,14.4,0.655,0.096,0.0,34.39
2024-08-29,08:48:30,al1_4c_3,907,399,1156,1041,285,0.129,15.4,0.655,0.110,0.0,36.77
2024-08-29,08:48:45,al1_4c_3,942,399,1156,1019,420,0.076,13.4,0.655,0.134,0.0,31.92
2024-08-29,08:50:40,al1_4a_3,282,282,1062,1062,0,0.734,0.0,0.734,-,0.0,0.0
2024-08-29,08:50:55,al1_4a_3,354,282,1062,1051,25,0.663,7.0,0.734,0.010,0.0,16.57
2024-08-29,08:51:09,al1_4a_3,395,282,1062,1048,45,0.623,11.8,0.734,0.013,0.0,28.04
2024-08-29,08:51:24,al1_4a_3,485,282,1062,1038,66,0.533,14.8,0.734,0.023,0.0,35.18
2024-08-29,08:51:39,al1_4a_3,660,282,1062,1025,90,0.356,13.5,0.734,0.036,0.0,32.04
2024-08-29,08:51:54,al1_4a_3,749,282,1062,1011,125,0.259,13.6,0.734,0.050,0.0,32.38
2024-08-29,08:52:09,al1_4a_3,805,282,1062,994,190,0.190,15.2,0.734,0.068,0.0,36.1
2024-08-29,08:52:24,al1_4a_3,861,282,1062,979,285,0.121,14.5,0.734,0.085,0.0,34.48
2024-08-29,08:52:38,al1_4a_3,883,282,1062,959,420,0.079,13.9,0.734,0.107,0.0,33.18
